food_name,age,time,cuisine_type,cooking_method,dish_type,dietary_preferences,spice_level,occasion,nutrient_content,region_origin,texture,post_id
murmura poha,child,snacks,indian,steamed,snack,vegetarian,mild,everyday,high carb,indian,crunchy,1bsw1of
honey cappuccino,child,snacks,fusion,baked,dessert,vegetarian,mild,everyday,high carb,other,smooth,1bsvquj
tandoori chicken,adult,dinner,indian,grilled,main course,non-vegetarian,medium,festive,high protein,punjabi,tender,1bsqpmk
grilled chicken skewers,senior,lunch,indo-western,grilled,main course,non-vegetarian,mild,festive,high protein,punjabi,tender,1bspm00
aloo bukhara and truffle mushroom spaghetti,adult,dinner,fusion,stir-fried,main course,non-vegetarian,medium,everyday,high protein,italian,soft,1bsijn5
chicken mumtaz korma,adult,dinner,north indian,stir-fried,main course,non-vegetarian,medium,everyday,high protein,punjabi,creamy,1bsg4b1
chicken tikka masala,adult,lunch,indian,grilled,main course,non-vegetarian,medium,festive,high protein,indian,soft,1bsf7j9
desi-style pasta,senior,dinner,indo-western,stir-fried,appetizer,non-vegetarian,mild,everyday,high carb,italian,soft,1bseq11
mango sticky rice,adult,dessert,fusion,steamed,dessert,vegetarian,mild,everyday,high carb,thai,sticky,1bsaza5
pav bhaji with aamras,adult,dinner,indian,stir-fried,main course,vegetarian,medium,everyday,high carb,maharashtrian,soft,1bs5gw0
luchi and aloo dum,senior,dinner,east indian,steamed,main course,vegetarian,medium,festive,high carb,bengali,soft,1bs4hhf
Ras Malai,senior citizen,dessert,Indian,baked,dessert,vegetarian,mild,festive,high carb,Indian,creamy,1bs3pmv
Vada Pav,adult,snacks,Indian,steamed,street food,vegetarian,medium,everyday,high carb,Maharashtrian,soft,1bs1mwj
Chaat,senior citizen,snacks,Indian,grilled,appetizer,vegetarian,mild,brunch,high protein,Indian,crispy,1brs1d3
Green moong sprouts dal,adult,dinner,Indian,stir-fried,main course,vegetarian,medium,everyday,high protein,Indian,soft,1brnwr2
Rava Appam,senior citizen,breakfast,South Indian,steamed,appetizer,vegetarian,mild,festive,high protein,Tamil,soft,1brl8jp
Onion cheese pakora,adult,snacks,Indian,fried,appetizer,vegetarian,medium,everyday,high carb,Indian,crispy,1brixkp
Coconut Kheer Recipe,senior citizen,dinner,Indian,boiled,dessert,vegetarian,mild,festive,high carb,Indian,creamy,1brdznl
chilla,senior citizen,snacks,Indian,stir-fried,snack,vegetarian,mild,everyday,high protein,Indian,soft,1brdt6y
Chana masala & aloo gobi,adult,dinner,Indian,stir-fried,main course,vegetarian,medium,everyday,high protein,Indian,soft,1brds25
Steamed Peanuts,senior citizen,snacks,Indian,steamed,snack,vegetarian,mild,everyday,high protein,Indian,crispy,1brc7yb
idli,child,breakfast,south,steamed,appetizer,vegetarian,mild,everyday,high,tamil,soft,1brb3j4
besan,adult,breakfast,indian,curried,main,vegetarian,medium,everyday,high,punjabi,smooth,1bqtkxr
cashew,adult,dinner,indian,stir-fried,main,non-vegetarian,medium,festive,high,gujarati,crunchy,1bqpg5h
fried,child,snacks,fusion,fried,snack,vegetarian,mild,everyday,high,indian,soft,1bqlnv1
millet,adult,dinner,indian,steamed,main,vegetarian,mild,everyday,high,indian,soft,1bqihag
chana,adult,dinner,indian,stir-fried,snack,vegetarian,mild,everyday,high,indian,smooth,1bqglwd
butter,adult,dinner,indian,grilled,main,non-vegetarian,spicy,everyday,high,indian,soft,1bqet93
dahi,adult,dinner,north,steamed,dessert,vegetarian,mild,festive,high,punjabi,soft,1bq6q2r
grilled,adult,dinner,indian,grilled,main,non-vegetarian,medium,dinner,high,indian,soft,1bq0hiq
meghana biryani,adult,dinner,indian,steamed,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1bq0fl8
dahi wale karele,adult,snacks,north indian,grilled,appetizer,vegetarian,mild,everyday,high protein,punjabi,crispy,1bq0eq8
mutton kosha,senior citizen,dinner,indian,stir-fried,main course,non-vegetarian,medium,festive,high protein,bengali,soft,1bpvnle
chole chawal,adult,lunch,north indian,steamed,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1bpspjo
grilled paneer tikka,adult,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,punjabi,soft,1bpoudl
soy 65,adult,snacks,fusion,stir-fried,appetizer,non-vegetarian,medium,everyday,high protein,indian,crispy,1bpomuo
baked samosas,adult,snacks,indian,baked,snack,vegetarian,mild,everyday,high carb,indian,crispy,1bpo62i
paneer tikka,adult,lunch,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,punjabi,soft,1bpje40
dahi bara masala,adult,snacks,north indian,steamed,appetizer,vegetarian,medium,everyday,high protein,punjabi,soft,1bpcjqx
fish-radish gravy with rice,senior citizen,dinner,fusion,stir-fried,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1bp78mw
chili shrimp,adult,evening,fusion,grilled,appetizer,non-vegetarian,medium,everyday,high protein,indian,crispy,1bp712b
jumbo prawn,adult,dinner,indian,curried,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1bp6lnz
jamun,child,snacks,indian,stir-fried,dessert,vegetarian,mild,everyday,high fiber,indian,smooth,1bp55te
pink sauce,adult,lunch,fusion,stir-fried,appetizer,non-vegetarian,mild,everyday,high protein,indian,creamy,1bp3kcs
paneer masala,adult,dinner,indian,curried,main course,vegetarian,medium,festive,high protein,indian,smooth,1bp2u4u
spicy grilled,adult,dinner,indian,grilled,main course,non-vegetarian,spicy,everyday,high protein,indian,tender,1bp22us
suji ka,child,dinner,indian,stir-fried,dessert,vegetarian,mild,festive,high carb,indian,creamy,1bozj3b
pasta,child,lunch,indo-western,boiled,lunch,vegetarian,mild,everyday,high carb,indian,soft,1bowvdz
fried rice,adult,lunch,fusion,fried,main course,non-vegetarian,medium,everyday,high carb,indian,soft,1bow1x7
maggi,child,snacks,indo-western,stir-fried,snack,vegetarian,mild,everyday,high carb,indian,soft,1bovsme
chapati,senior citizen,lunch,north indian,steamed,main course,vegetarian,mild,everyday,high carb,punjabi,soft,1bojqtz
sabzi ki biryani,senior citizen,dinner,indian,steamed,main course,vegetarian,medium,festive,high carb,indian,soft,1boih4m
chicken curry,adult,lunch,indian,curried,main course,non-vegetarian,medium,everyday,high carb,indian,smooth,1boh2gy
biryani,senior citizen,dinner,indian,steamed,main course,non-vegetarian,medium,festive,high carb,indian,soft,1boa78y
anjal fry,adult,dinner,north indian,fried,main course,vegetarian,mild,everyday,high protein,punjabi,soft,1bo9c58
chicken tandoori,adult,dinner,indian,air fried,main course,non-vegetarian,medium,everyday,high protein,indian,tender,1bo9b4q
egg samosa,senior citizen,dinner,indian,fried,appetizer,vegetarian,medium,everyday,high carb,indian,crispy,1bo7wj1
chicken curry,adult,lunch,indian,curried,main course,non-vegetarian,medium,everyday,high carb,indian,soft,1bo79kp
litti chokha,senior citizen,lunch,north indian,steamed,appetizer,vegetarian,medium,festive,high carb,bihar,soft,1bo6e66
chicken soup,senior citizen,lunch,western,boiled,soup,non-vegetarian,mild,everyday,high protein,western,creamy,1bo4gvl
soy chilli manchurian,adult,lunch,fusion,stir-fried,starter,vegetarian,medium,everyday,high protein,india,crunchy,1bo3r0g
steamed mulberry,adult,snacks,indian,steamed,snack,vegetarian,mild,everyday,high fiber,india,soft,1bo2xna
holi feast,adult,dinner,indian,steamed,main course,vegetarian,medium,festive,high protein,india,soft,1bnmot1
steamed idli,senior citizen,snacks,indian,steamed,snack,vegetarian,mild,festive,high fiber,india,soft,1bnlntn
kadhi pakora and rice,adult,dinner,indian,deep-fried,appetizer,vegetarian,medium,everyday,high carb,punjabi,crispy,1bnjgax
rasam,senior citizen,dinner,south indian,stir-fried,appetizer,vegetarian,medium,traditional,high protein,south indian,liquid,1bnh7pv
cheesy chicken cone,child,dinner,fusion,grilled,appetizer,non-vegetarian,mild,everyday,high protein,india,crispy,1bnd44w
mutton dum biryani,adult,lunch,north indian,steamed,main course,non-vegetarian,medium,festive,high protein,india,soft,1bnbve2
samosas,adult,snacks,indian,baked,appetizer,vegetarian,mild,everyday,high protein,india,crispy,1bnb4if
black chana,senior citizen,lunch,north indian,steamed,appetizer,vegetarian,mild,everyday,high protein,punjabi,soft,1bnafa3
puri aloo dum,adult,dinner,indian,steamed,main course,vegetarian,mild,festive,high carb,indian,soft,1bna2lp
aamras,senior citizen,lunch,north indian,steamed,lunch,vegetarian,medium,festive,high carb,punjabi,soft,1bn9g47
chanar pulao,adult,dinner,indian,steamed,main course,vegetarian,medium,happy holi,high protein,tagore household,soft,1bn87qo
paplet thali,adult,dinner,goan,grilled,appetizer,non-vegetarian,medium,festive,high protein,goa,soft,1bn4e4g
basundi,senior citizen,dinner,indian,steamed,dessert,vegetarian,mild,festive,high carb,gujarati,creamy,1bmu8rz
beetroot raita,adult,lunch,indian,stir-fried,side dish,vegetarian,mild,everyday,high fiber,indian,smooth,1bmptgw
stuffed potatoes,senior citizen,dinner,indian,baked,side dish,vegetarian,mild,everyday,high carb,indian,soft,1bmov84
mutton curry,adult,dinner,indian,curried,main course,non-vegetarian,medium,festive,high protein,indian,tender,1bmo2h3
pav bhaji,adult,lunch,indian,grilled,appetizer,vegetarian,mild,office,high protein,indian,soft,1bmk6by
chicken 65,adult,snacks,south indian,baked,appetizer,non-vegetarian,medium,everyday,high protein,tamil,crispy,1bmje1l
aloo paneer kulcha,senior citizen,dinner,north indian,baked,appetizer,vegetarian,mild,festive,high protein,punjabi,soft,1bmj720
aloo khabi,adult,lunch,indian,steamed,appetizer,vegetarian,mild,everyday,high fiber,indian,soft,1bmi1zq
gulab jamun,child,dessert,indian,steamed,dessert,vegetarian,mild,festive,high carb,indian,soft,1bmgy2b
dal pakwaan,adult,snacks,indian,steamed,appetizer,vegetarian,medium,everyday,high protein,gujarati,soft,1bmfg7l
gujjiya,child,dessert,indian,steamed,dessert,vegetarian,mild,festive,high carb,gujarati,soft,1bmfezz
pakoras,adult,snacks,indian,fried,snack,vegetarian,mild,festive,high carb,indian,crispy,1bmea38
holi mubarak,child,dessert,indian,baked,dessert,vegetarian,mild,festive,high carb,indian,soft,1bme11c
east indian sunday stew,adult,dinner,east indian,stewed,main course,vegetarian,mild,everyday,high protein,east india,soft,1bmdlvm
gulab jamun,child,dessert,indian,baked,dessert,vegetarian,mild,festive,high carb,indian,soft,1bm8nki
arbi patte ki pakodi,adult,snacks,indian,fried,appetizer,vegetarian,medium,everyday,high carb,indian,crispy,1blxa9l
butter chicken,adult,dinner,north indian,grilled,main course,non-vegetarian,medium,festive,high protein,punjabi,creamy,1blrfd4
egg masala,adult,dinner,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjabi,soft,1blqj28
mumbai ka sevpuri,adult,snacks,indian,grilled,street food,vegetarian,medium,everyday,high carb,mumbai,crispy,1bln4hp
grilled chicken tikka wrap,adult,breakfast,indian,grilled,wrap,vegetarian,mild,everyday,high protein and fiber,indian,soft,1bllbdl
aloo tikki,senior citizen,breakfast,indian,grilled,appetizer,vegetarian,mild,festive,high protein,indian,crunchy,1bljjvj
dal bhaat,senior citizen,dinner,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjabi,soft,1bl5o05
baingan ke pakode,senior citizen,snacks,indian,fried,appetizer,vegetarian,medium,festive,high carb,bengali,crispy,1bl5myk
butter chicken and pulao,adult,lunch,north indian,grilled,main course,non-vegetarian,medium,everyday,high protein,punjabi,soft,1bkvz5d
curd rice,senior citizen,breakfast,south indian,steamed,main course,vegetarian,mild,everyday,high protein,tamil,soft,1bkv308
sooji nariyal peda,senior citizen,dessert,indian,stir-fried,dessert,vegetarian,mild,everyday,high carb,indian,soft,1bktiq0
Aloo Tikki,senior citizen,breakfast,indian,grilled,breakfast,vegetarian,mild,everyday,high protein,indian,soft,1bksl31
Steamed Idli,adult,breakfast,indian,steamed,breakfast,vegetarian,mild,everyday,high protein,indian,soft,1bkqrro
Spicy Chicken Popcorn,adult,snacks,indian,fried,snack,non-vegetarian,spicy,iftar,high protein,indian,crispy,1bkhu73
Gobhi ke pakode,adult,snacks,indian,fried,appetizer,vegetarian,mild,everyday,high carb,indian,crispy,1bk9s2p
Tomato Bonda,child,dessert,fusion,baked,dessert,vegetarian,mild,everyday,high carb,fusion,soft,1bk7eh7
Tomato Bonda,child,snacks,south indian,steamed,appetizer,vegetarian,mild,everyday,high protein,tamil,soft,1bk6x30
Pav bhaji,adult,lunch,indian,stir-fried,main course,vegetarian,medium,everyday,high carb,maharashtrian,soft,1bk39ey
Aloo Tikki,adult,lunch,indian,grilled,main course,vegetarian,mild,lunch,high protein,indian,soft,1bk324n
Chana Masala,adult,lunch,indian,stir-fried,main course,vegetarian,mild,everyday,high protein,punjab,smooth,1bk1tw6
Easy Brunch,senior citizen,brunch,indian,baked,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1bk1jpp
korma,adult,dinner,indian,stir-fried,main course,vegetarian,medium,everyday,high protein,indian,creamy,1bjrgrd
onion bread pakora,adult,dinner,indian,fried,appetizer,vegetarian,medium,everyday,high carb,indian,crispy,1bjpgxc
dukra maas,adult,dinner,north indian,grilled,main course,non-vegetarian,medium,festive,high protein,punjabi,soft,1bjpdzr
butter chicken,adult,dinner,fusion,baked,main course,non-vegetarian,medium,everyday,high protein,indian,creamy,1bjkm8o
mushroom rice,adult,dinner,indian,steamed,main course,vegetarian,mild,everyday,high carb,indian,soft,1bjijpr
chole bhature,adult,lunch,indian,stir-fried,street food,vegetarian,medium,everyday,high protein,punjabi,soft,1bjhfms
pav bhaji,adult,dinner,indian,stir-fried,main course,vegetarian,medium,everyday,high carb,maharashtrian,soft,1bjhdrk
moondal halwa,senior citizen,dinner,indian,stir-fried,dessert,vegetarian,mild,festive,high carb,indian,soft,1bjgedv
tandoori chicken,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,tender,1bjfzog
veg noodles,adult,dinner,fusion,fried,appetizer,vegetarian,medium,everyday,high carb,indian,soft,1bjfxcr
mini pan pizza,senior citizen,snacks,fusion,baked,appetizer,non-vegetarian,mild,everyday,high carb,other,crunchy,1bjbpce
kulthi dal,senior citizen,dinner,south indian,stir-fried,main course,vegetarian,medium,everyday,high protein,south indian,creamy,1bj8ayo
aloo paneer dhania parantha,adult,dinner,north indian,grilled,main course,vegetarian,medium,festive,high carb,doaba,soft,1bj3dv0
matar-paneer-pulao,adult,dinner,indian,steamed,main course,vegetarian,medium,festive,high carb,indian,soft,1bj3dv0
moru,adult,snacks,south indian,stir-fried,appetizer,vegetarian,medium,everyday,high protein,south indian,liquid,1bj1ycj
chicken curry,senior citizen,dinner,indian,curried,main course,non-vegetarian,medium,festive,high carb,indian,smooth,1bj0zi5
fried tofu,adult,lunch,fusion,fried,appetizer,vegetarian,mild,everyday,high protein,indian,crispy,1bj0e1i
paratha aloo patties,adult,dinner,indian,fried,appetizer,non-vegetarian,medium,festive,high carb,indian,soft,1bitesd
pakoras,adult,snacks,indian,fry,snack,vegetarian,mild,everyday,high carb,indian,crispy,1birpoz
bread snacks,adult,snacks,indian,baked,snack,vegetarian,mild,everyday,high carb,indian,soft,1bip4bn
steamed rice with vegetables,adult,lunch,indian,steamed,lunch,vegetarian,mild,everyday,high fiber,indian,soft,1bip38h
chicken drumsticks,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,tender,1bikxer
puri bhaji,adult,lunch,indian,steamed,appetizer,vegetarian,medium,everyday,high fiber,indian,soft,1bikr1x
kanji,adult,lunch,south indian,steamed,main course,vegetarian,mild,everyday,high carb,kerala,soft,1biiyn9
bombay sandwich,adult,snacks,indo-western,grilled,appetizer,non-vegetarian,mild,street food,high carb,mumbai,soft,1bikxer
chili pork,adult,dinner,fusion,stir-fried,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1bii9un
kerala style pork fry,adult,dinner,south indian,fried,main course,non-vegetarian,medium,festive,high protein,kerala,crispy,1bii5yg
pepper beef goan style,adult,dinner,goan,grilled,main course,non-vegetarian,medium,everyday,high protein,goa,tender,1bii4s6
pina colada and cashew feni based cocktail,adult,snacks,fusion,mixed,cocktail,non-vegetarian,mild,everyday,low fat,indian,liquid,1bii3p9
goan mackarel rava fry,adult,dinner,goan,stir-fried,appetizer,non-vegetarian,medium,festive,high protein,goa,crispy,1bii2re
pepper pork goan,adult,dinner,goan,grilled,main course,non-vegetarian,medium,festive,high protein,goa,tender,1bii21p
goan shrimp thali,adult,dinner,goan,grilled,main course,non-vegetarian,medium,festive,high protein,goa,soft,1bii1id
peri peri mandi,adult,dinner,indo-western,grilled,main course,non-vegetarian,medium,festive,high protein,goa,soft,1bihzwo
gulab jamoon falooda,senior citizen,dessert,indian,steamed,dessert,vegetarian,mild,festive,high carb,indian,soft,1bihyld
steamed rice,senior citizen,lunch,indian,steamed,side dish,vegetarian,mild,everyday,high carb,indian,soft,1bih66h
paneer cheese balls,adult,snacks,indian,fried,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1bift3d
dhokla,adult,breakfast,indian,steamed,appetizer,vegetarian,mild,everyday,high protein,gujarati,soft,1bif7dj
omelette,adult,morning,indian,fried,breakfast,vegetarian,mild,everyday,high protein,indian,soft,1bie7u7
poha,senior citizen,breakfast,indian,steamed,breakfast,vegetarian,mild,everyday,high carb,indian,soft,1bic19n
allu gobi mashroom panner,adult,snacks,indian,fried,appetizer,vegetarian,mild,everyday,high protein,indian,crispy,1bibe90
Vegetable Pulao,senior citizen,lunch,Indian,steamed,main course,vegetarian,medium,everyday,high carb,indian,soft,1biabw4
Dosa,child,breakfast,South Indian,steamed,dessert,vegetarian,mild,festive,high carb,bengali,soft,1bi07o9
Tandoori Chicken Wrap,adult,dinner,Indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1bi0135
Rasmalai,senior citizen,dinner,Indian,steamed,dessert,vegetarian,mild,festive,high carb,indian,creamy,1bhzshl
Kerala Sadhya,senior citizen,lunch,South Indian,steamed,main course,vegetarian,medium,festive,high protein,kerala,soft,1bhwcyd
Mackerel Coconut Curry,adult,dinner,South Indian,curried,main course,non-vegetarian,medium,everyday,high protein,south indian,soft,1bhwbpj
Parippu curry,senior citizen,dinner,South Indian,curried,main course,vegetarian,medium,everyday,high carb,south indian,soft,1bhw9lp
Crispy Bhindi,adult,snacks,North Indian,fried,appetizer,vegetarian,medium,everyday,high protein,punjabi,crispy,1bhv8ib
Malwani Chicken,adult,dinner,Indian,grilled,main course,non-vegetarian,medium,festive,high protein,maharashtrian,tender,1bhu8e9
Chicken Pizza Momos,child,snacks,Fusion,steamed,appetizer,non-vegetarian,medium,everyday,high protein,fusion,soft,1bhrv63
pav bhaji,senior citizen,dinner,indian,stir-fried,main course,vegetarian,medium,everyday,high carb,maharashtrian,soft,1bhr2ii
grilled paneer tikka,adult,late breakfast,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1bhmzb5
chaat,adult,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,punjabi,crunchy,1bhmu9m
grilled paneer tikka,adult,lunch,indian,grilled,lunch,vegetarian,mild,everyday,high protein,indian,soft,1bhml84
horsegram dal,adult,dinner,indian,stir-fried,main course,vegetarian,medium,everyday,high protein,north indian,smooth,1bhlt5b
omelette,senior citizen,breakfast,indian,fried,breakfast,neither,mild,everyday,high protein,indian,solid,1bhkpqg
mistake omelette,senior citizen,breakfast,indian,fried,appetizer,non-vegetarian,mild,everyday,high protein,indian,soft,1bhiw6y
kerala menu,adult,dinner,south indian,steamed,menu,vegetarian,mild,everyday,high fiber,kerala,soft,1bhhgdk
sweet cherry buns,senior citizen,dinner,indian,baked,dessert,vegetarian,mild,festive,high carb,indian,soft,1bh7582
sabudana poha,adult,breakfast,indian,steamed,breakfast,vegetarian,mild,everyday,high carb,indian,soft,1bh35d6
chicken sliders,adult,dinner,fusion,grilled,burger,non-vegetarian,medium,everyday,high protein,other,soft,1bh2w0r
paneer pakoda,adult,dinner,indian,fried,appetizer,vegetarian,mild,festive,high protein,indian,crispy,1bh0ykh
dal chawal,adult,dinner,indian,steamed,main course,vegetarian,medium,everyday,high carb,indian,soft,1bgy44j
kala chana masala,adult,lunch,north indian,stir-fried,appetizer,vegetarian,medium,everyday,high carb,punjabi,soft,1bgxoqu
panner tikka,senior citizen,dinner,indian,grilled,appetizer,vegetarian,medium,everyday,high protein,punjabi,soft,1bgvew5
chicken curry,adult,dinner,indian,curried,main course,non-vegetarian,medium,everyday,high protein,indian,smooth,1bguyep
dahi bhalla,senior citizen,snacks,north indian,deep fried,appetizer,vegetarian,medium,festive,high fiber,punjabi,crispy,1bgumbu
chole bhature,adult,breakfast,north indian,stir-fried,main course,vegetarian,medium,festive,high carb,punjabi,soft,1bgqmnf
galouti kebab,adult,snacks,north indian,grilled,appetizer,vegetarian,mild,everyday,high protein,north indian,soft,1bgosii
masala dose,adult,breakfast,south indian,steamed,appetizer,vegetarian,medium,everyday,high carb,tamil,crispy,1bgo4wd
basmati rice,adult,dinner,indian,steamed,side dish,vegetarian,mild,everyday,high carb,indian,soft,1bgknsh
gulab jamun,senior citizen,dessert,indian,baked,dessert,vegetarian,mild,festive,high carb,indian,soft,1bghq7j
sabudana khichdi,adult,lunch,indian,steamed,main course,vegetarian,medium,everyday,high carb,indian,soft,1bgeibt
gujarati kebab,adult,dinner,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,gujarati,soft,1bgd6dg
holi thali,senior citizen,dinner,indian,steamed,main course,vegetarian,mild,festive,high protein,indian,soft,1bgce8k
cucumber pancake,senior citizen,breakfast,indian,grilled,appetizer,vegetarian,mild,festive,high fiber,indian,crispy,1bgbeg9
malabar parotta,senior citizen,dinner,south indian,steamed,main course,vegetarian,medium,everyday,high carb,malabar,soft,1bg8ido
panner tikka pizza,adult,dinner,fusion,baked,appetizer,vegetarian,mild,everyday,high protein,indian,chewy,1bg88ta
beef dry roast,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,tender,1bg6z8q
steamed rotis,senior citizen,snacks,indian,steamed,snack,vegetarian,mild,everyday,high carb,indian,soft,1bg3zmi
poha,adult,lunch,north indian,stir-fried,main course,vegetarian,mild,everyday,high carb,punjabi,soft,1bg2or2
chicken tikka masala,adult,lunch,indian,grilled,main course,non-vegetarian,medium,saturday lunch,high protein,punjabi,soft,1bg1l77
poha with eggs,senior citizen,breakfast,indian,fried,breakfast,non-vegetarian,mild,everyday,high protein,punjabi,soft,1bfyy27
malpua,senior citizen,dessert,indian,fried,dessert,vegetarian,mild,festive,high carb,gujarati,soft,1bfo0a0
aloo tikki,child,lunch,north indian,grilled,appetizer,vegetarian,medium,everyday,high protein,punjabi,crispy,1bfmidp
chicken sandwich,adult,lunch,western,grilled,sandwich,non-vegetarian,mild,everyday,high protein,punjabi,soft,1bfivzu
arhar dal,adult,dinner,north indian,stir-fried,main course,vegetarian,medium,everyday,high protein,punjabi,soft,1bfits3
panner tikka biryani,senior citizen,dinner,indian,baked,main course,vegetarian,medium,festive,high carb,punjabi,soft,1bfihc9
masala dosa,senior citizen,breakfast,south indian,steamed,main course,vegetarian,medium,festive,high carb,tamil nadu,thin,1bfhag2
aloo tikki,child,snacks,indian,fried,snack,vegetarian,mild,everyday,high carb,punjabi,soft,1bffcj7
dahi wale aloo,adult,lunch,indian,grilled,appetizer,vegetarian,medium,everyday,high protein,north indian,soft,1bfd30z
rajma chawal,senior citizen,dinner,north indian,steamed,main course,vegetarian,medium,everyday,high carb,punjabi,soft,1bfcuv4
cold coffee,adult,snacks,indian,steamed,dessert,vegetarian,mild,everyday,high carb,indian,smooth,1bfbc6o
veg fried rice,senior citizen,lunch,indian,fried,main course,vegetarian,mild,everyday,high carb,indian,soft,1bfaaz3
chaat,senior citizen,snacks,indian,stir-fried,street food,vegetarian,mild,everyday,high protein,indian,crunchy,1bf3dhz
aloo baingan,adult,dinner,indian,grilled,main course,vegetarian,medium,everyday,high carb,indian,soft,1bf3c8h
gulab jamun,senior citizen,snacks,indian,baked,dessert,vegetarian,mild,everyday,high carb,indian,soft,1beshns
balochi chicken tikka,adult,dinner,indian,grilled,main course,non-vegetarian,medium,iftar,high protein,balochi,tender,1bepnl0
indian street sandwich,senior citizen,snacks,indian,grilled,street food,vegetarian,mild,festive,high protein,indian,soft,1bepjxg
oats chilla,senior citizen,breakfast,indian,steamed,appetizer,vegetarian,mild,everyday,high protein,indian,soft,1beozi4
vada pav,adult,snacks,indian,grilled,appetizer,vegetarian,mild,everyday,high protein,maharashtrian,crunchy,1beonwt
khichdi,child,dinner,indian,stir-fried,main course,vegetarian,medium,everyday,high carb,indian,soft,1beoc4w
tandoori prawns,adult,snacks,indian,grilled,appetizer,non-vegetarian,medium,everyday,high protein,indian,soft,1bel8kr
kadhi pakoda,senior citizen,snacks,north indian,fried,appetizer,vegetarian,medium,festive,high protein,punjabi,crispy,1bek6mo
steamed idli,senior citizen,breakfast,indian,steamed,lunch,vegetarian,medium,everyday,high protein,indian,soft,1bei0sv
manchurian,adult,snacks,indo-western,baked,appetizer,vegetarian,mild,everyday,high protein,indo-chinese,crispy,1behbsp
mixed vegetable sambar,senior citizen,dinner,indian,steamed,side dish,vegetarian,medium,everyday,high fiber,indian,soft,1beh84m
grilled chicken tikka,adult,lunch,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1beh33p
jeera rice,adult,dinner,indian,baked,main course,non-vegetarian,medium,festive,high protein,indian,soft,1beghp6
samosa,child,snacks,indian,fried,appetizer,vegetarian,mild,everyday,high carb,indian,crispy,1bedhui
goan beef roast sandwich,adult,snacks,goan,grilled,sandwich,non-vegetarian,medium,everyday,high protein,goa,tender,1bdrx6q
gobi manchurian,senior citizen,evening snacks,fusion,stir-fried,snack,vegetarian,mild,everyday,high protein,other,crunchy,1bdzfdv
grilled chicken with rice,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,tender,1bdxr2z
chicken spring rolls,child,dinner,fusion,stir-fried,appetizer,non-vegetarian,medium,everyday,high carb,other,crispy,1bdxhyc
sukoon,adult,dessert,indo-western,baked,dessert,vegetarian,mild,everyday,high carb,indo-western,soft,1bdxcmh
paneer butter masala,adult,dinner,indian,stir-fried,main course,vegetarian,medium,everyday,high protein,indian,creamy,1bduztl
chicken tikka masala,adult,dinner,indian,grilled,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1bdtyso
dahi boondi chaat,senior citizen,snacks,north indian,stir-fried,appetizer,vegetarian,medium,everyday,high protein,punjabi,crunchy,1bdt5ii
south indian filter coffee,senior citizen,breakfast,south indian,brewed,dessert,vegetarian,mild,everyday,high carb,south india,smooth,1bdrwd3
bhindi fry,senior citizen,snacks,indian,stir-fried,appetizer,vegetarian,medium,everyday,high protein,indian,crispy,1bdnd47
mixed veg white pulao with chicken kassa,adult,dinner,indian,stir-fried,main course,non-vegetarian,medium,everyday,high protein,indian,soft,1bdn582
hyderabadi chicken pulao,adult,dinner,indian,steamed,main course,non-vegetarian,medium,festive,high protein,hyderabadi,soft,1bdmrwp
sabudana khichdi,adult,dinner,indian,steamed,main course,vegetarian,mild,everyday,high carb,maharashtrian,soft,1bdit20
palak dal,adult,dinner,north indian,curried,main course,vegetarian,medium,everyday,high protein,punjabi,creamy,1bd8y67
chana dal vada,senior citizen,snacks,north indian,fried,appetizer,vegetarian,medium,festive,high protein,punjabi,crispy,1bd2ltv
fried rice with chili garlic oil,adult,dinner,fusion,stir-fried,main course,vegetarian,medium,everyday,high carb,indian,soft,1bd06sm
steamed idli,child,breakfast,indian,steamed,snack,vegetarian,mild,everyday,high carb,indian,soft,1bcz82u
cheesy chicken fritters,adult,snacks,fusion,fried,appetizer,non-vegetarian,mild,everyday,high protein,indian,crispy,1bcy93e
